Date,Stock,Volatility
2016-09-27,AXISBANK.NS,2.3597174554356206
2016-09-28,AXISBANK.NS,2.285301395940384
2016-09-29,AXISBANK.NS,2.2206411242721313
2016-09-30,AXISBANK.NS,2.188776875385376
2016-10-03,AXISBANK.NS,2.101016180699609
2016-10-04,AXISBANK.NS,2.065046828083542
2016-10-05,AXISBANK.NS,1.9986731513276166
2016-10-06,AXISBANK.NS,2.0028112352094753
2016-10-07,AXISBANK.NS,1.945818867825165
2016-10-10,AXISBANK.NS,1.877342636053759
2016-10-13,AXISBANK.NS,1.8155252050097257
2016-10-14,AXISBANK.NS,1.8756020033398253
2016-10-17,AXISBANK.NS,1.8092147193494148
2016-10-18,AXISBANK.NS,1.7502179776593632
2016-10-19,AXISBANK.NS,1.8154202164064177
2016-10-20,AXISBANK.NS,1.756581907124742
2016-10-21,AXISBANK.NS,1.708530572698144
2016-10-24,AXISBANK.NS,1.8022729440803262
2016-10-25,AXISBANK.NS,1.7594315555135862
2016-10-26,AXISBANK.NS,1.7367932483592168
2016-10-27,AXISBANK.NS,2.7043938721607446
2016-10-28,AXISBANK.NS,2.5859960528132233
2016-11-01,AXISBANK.NS,2.471771609222446
2016-11-02,AXISBANK.NS,2.4488342500356333
2016-11-03,AXISBANK.NS,2.3431325271983523
2016-11-04,AXISBANK.NS,2.2456482597025245
2016-11-07,AXISBANK.NS,2.1567919841278504
2016-11-08,AXISBANK.NS,2.0979740100396143
2016-11-09,AXISBANK.NS,2.0328392611763335
2016-11-10,AXISBANK.NS,1.965596730713683
2016-11-11,AXISBANK.NS,2.152939390354738
2016-11-15,AXISBANK.NS,2.1171948534408993
2016-11-16,AXISBANK.NS,2.2965731605045026
2016-11-17,AXISBANK.NS,2.2360870970014375
2016-11-18,AXISBANK.NS,2.144561391669497
2016-11-21,AXISBANK.NS,2.0596627824772074
2016-11-22,AXISBANK.NS,2.0335493767904014
2016-11-23,AXISBANK.NS,1.9719638671254631
2016-11-24,AXISBANK.NS,1.9677131033313975
2016-11-25,AXISBANK.NS,2.023072761796736
2016-11-28,AXISBANK.NS,1.9503000443207772
2016-11-29,AXISBANK.NS,1.8786690199666605
2016-11-30,AXISBANK.NS,1.877322972145243
2016-12-01,AXISBANK.NS,1.8292628068901908
2016-12-02,AXISBANK.NS,1.7820871362692743
