Year,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,Stock,NC_Bn,CCG_%,TCV_Bn,AR_Bn,Bank,ROE,NIM,NPA,CASA,CAR,Revenue_Growth,NII_Growth,PE_Ratio,Inflation_Rate,GDP_Growth,NIFTY_Return,NIFTY_Volatility,Revenue_Growth_%,EBITDA_Margin_%,Debt_Equity_Ratio,ROCE_%
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2026,5.649143189,9.19075493,186.9444095,18.22216984,93.10250092,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,4.948216341,8.256305502,5.06,15.09,,,,
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,3.328173375,6.795383419,28.75,9.05,,,,
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,3.938826467,6.453851345,4.03,12.88,,,,
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,3.729505735,3.871436941,12.75,13.95,,,,
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,6.623436776,-5.777724707,14.77,31.39,,,,
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,5.131407472,9.689592492,23.79,15.68,,,,
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,,AXISBANK.NS,,,,,Axis Bank,11.93,2.83,0.73,44.96,18.54,6.513771408,-9.433962264,17.20858234,6.699034141,7.609364978,2.72,17.29,,,,
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,,AXISBANK.NS,,,,,Axis Bank,8.33,3.27,0.39,47.12,17.64,23.2720763,-3.472222222,24.2771153,5.649143189,9.19075493,19.42,9.83,,,,
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,,AXISBANK.NS,,,,,Axis Bank,16.8,3.38,0.31,42.96,16.63,29.98887002,19.42446043,12.68524242,4.95303551,6.494765524,8.75,14.09,,,,
