Date,Year,Stock,open,high,low,close,Return,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,SECTOR,PE_Ratio,Revenue_Growth_%,EBITDA_Margin_%,Debt_Equity_Ratio,ROCE_%
2023-12-01,2023,ONGC.NS,173.3583441,176.0219807,172.4704653,172.7368317,-0.002051789548,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-04,2023,ONGC.NS,174.4682044,182.8142607,174.0686616,179.3959351,0.03855057042,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-05,2023,ONGC.NS,179.5291115,181.0828996,176.8210781,179.3959351,0,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-06,2023,ONGC.NS,180.9053289,180.9053289,176.7766974,179.3071442,-0.0004949437317,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-07,2023,ONGC.NS,178.3748636,178.3748636,174.0686591,176.5991058,-0.01510279104,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-08,2023,ONGC.NS,177.4425941,177.8421368,172.3372907,173.9798584,-0.01483160078,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-11,2023,ONGC.NS,174.9565426,178.3304852,172.4704789,175.6224518,0.009441284749,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-12,2023,ONGC.NS,174.8677464,175.6224489,172.7368424,173.4915314,-0.0121335307,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-13,2023,ONGC.NS,173.4915325,173.4915325,170.5171463,171.4938049,-0.01151483548,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-14,2023,ONGC.NS,173.9354617,174.2906214,171.5825882,173.9798584,0.01449646224,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-15,2023,ONGC.NS,175.1341141,179.3071422,174.7789679,178.5080566,0.02602714063,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-18,2023,ONGC.NS,178.5080511,179.0407703,175.222902,176.6878967,-0.01019651408,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-19,2023,ONGC.NS,179.3515239,180.7277388,176.9542537,177.8421326,0.006532625388,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-20,2023,ONGC.NS,179.1295856,188.2303452,178.4192797,180.4170074,0.01447843006,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-21,2023,ONGC.NS,181.0828952,183.5689587,178.6412282,179.9286499,-0.00270682654,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-22,2023,ONGC.NS,181.1272977,181.5712371,179.1739668,181.082901,0.006415048961,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-26,2023,ONGC.NS,181.5712395,185.1227552,180.816537,184.1016998,0.01667081106,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-27,2023,ONGC.NS,186.0106284,186.3657746,181.571234,182.5035095,-0.008681018747,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-28,2023,ONGC.NS,183.3470056,185.4779097,182.3259502,184.9451904,0.01337881619,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2023-12-29,2023,ONGC.NS,184.6788258,184.6788258,181.3492797,182.0595856,-0.01560248662,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-01,2024,ONGC.NS,182.9030589,183.8797311,181.7932102,182.325943,0.001463023334,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-02,2024,ONGC.NS,182.3259509,187.1204919,180.8165458,183.8353424,0.008278577307,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-03,2024,ONGC.NS,182.4591354,186.8541337,181.5712563,184.9008026,0.005795731066,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-04,2024,ONGC.NS,186.8985141,191.2491154,185.833062,190.5832062,0.0307321736,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-05,2024,ONGC.NS,191.2935175,193.1136721,189.1626135,192.1813965,0.008385787708,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-08,2024,ONGC.NS,193.5575802,196.0436436,192.7584947,193.5131836,0.006929844063,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-09,2024,ONGC.NS,196.2212417,196.6207845,191.7374505,192.358963,-0.005964557864,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-10,2024,ONGC.NS,190.8939657,190.8939657,186.1882048,188.3191223,-0.02100157245,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-11,2024,ONGC.NS,190.0060715,190.0060715,187.2092586,188.0971375,-0.001178769636,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-12,2024,ONGC.NS,189.8284984,199.5507689,188.5410767,198.3521271,0.05451964747,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-15,2024,ONGC.NS,202.880323,209.0510785,199.4619839,207.3197174,0.0452104571,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-16,2024,ONGC.NS,208.6071512,212.1586669,205.1888255,208.7403412,0.006852333184,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-17,2024,ONGC.NS,206.165464,210.6492549,204.8336457,206.0322876,-0.01297331208,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-18,2024,ONGC.NS,204.2565443,208.2076027,199.4619901,207.3641205,0.006464195012,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-19,2024,ONGC.NS,209.5394171,215.3550265,208.6515382,214.911087,0.03639475593,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-23,2024,ONGC.NS,217.5303288,218.1074446,202.4363876,204.1233521,-0.05019627016,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-24,2024,ONGC.NS,205.1000325,208.6515483,202.5251891,208.0744324,0.01935633666,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-25,2024,ONGC.NS,208.6515419,210.8712392,206.6982111,207.8080597,-0.001280179778,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-29,2024,ONGC.NS,213.9788152,226.3647232,212.2918507,224.1894226,0.07882929536,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-30,2024,ONGC.NS,227.7409489,233.7785149,220.7710938,221.2594299,-0.01306927259,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-01-31,2024,ONGC.NS,222.3692683,225.8320041,218.6845762,223.967453,0.01223913065,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-01,2024,ONGC.NS,226.0983617,226.0983617,217.9298783,219.8832092,-0.01823588079,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
