Date,Year,Stock,open,high,low,close,Return,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,NC_Bn,CCG_%,TCV_Bn,AR_Bn,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2020-06-11,2020,ONGC.NS,63.538081473527775,64.43754465695886,62.24285229343195,62.53068161010742,-0.01529756924151382,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-12,2020,ONGC.NS,58.68098882669204,60.587846661285944,58.68098882669204,60.371978759765625,-0.034522298410271324,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-15,2020,ONGC.NS,60.44392462956386,61.811109737019585,59.72435409825953,60.5158805847168,0.0023835863575680794,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-16,2020,ONGC.NS,61.523290704205834,61.70318336708363,59.256642053967944,60.371978759765625,-0.0023779183837492335,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-17,2020,ONGC.NS,60.1560997811063,60.98360705146362,59.86827044925751,60.58784103393555,0.0035755375027359815,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-18,2020,ONGC.NS,59.72435996360158,60.40794983951892,58.86087743719146,60.15610122680664,-0.007125849011307195,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-19,2020,ONGC.NS,61.52329336449982,62.098952106555856,60.6598107413044,61.70318603515625,0.02571783704061259,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-22,2020,ONGC.NS,61.95502426784901,62.02698022604548,60.515883144368715,61.05556106567383,-0.010495810850244092,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-23,2020,ONGC.NS,61.52328508539354,62.24285567118762,60.73175853899764,61.631221771240234,0.009428472943639132,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-24,2020,ONGC.NS,62.06295871046888,62.3507880227558,59.40054992406174,59.79631042480469,-0.02977243179189737,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-25,2020,ONGC.NS,59.18469443853592,60.44394325637711,57.56566024416868,58.71697235107422,-0.018050245342273508,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-26,2020,ONGC.NS,59.796328397206494,61.0196019696215,59.36458704395556,60.5518798828125,0.03125003654424141,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-06-29,2020,ONGC.NS,60.40794891999653,60.515885606626796,58.71695912908208,59.29261779785156,-0.020796416022062725,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
